pair,speaker,condition,round,trial,begin,end,duration_ms,duration_m,director,accuracy,target,num_words,num_content_words,num_lex_align,num_gestures,num_iconic_gestures,num_deictic_gestures,num_representational_gestures,num_other_gestures,num_gestural_align
2,B,Asym,1,1_5,169363,190792,21429,0.35714999999999997,A,1,13,19,5,0,0,0,0,0,0,0
2,A,Asym,1,1_6,191115,227578,36463,0.6077166666666667,B,1,16,34,12,1,1,1,0,1,0,0
2,B,Asym,1,1_6,191115,227578,36463,0.6077166666666667,B,1,16,66,28,1,6,2,0,2,4,1
2,A,Asym,1,1_7,227931,252546,24615,0.41024999999999995,A,1,11,56,24,1,2,2,0,2,0,0
2,B,Asym,1,1_7,227931,252546,24615,0.41024999999999995,A,1,11,22,7,1,0,0,0,0,0,0
2,A,Asym,1,1_8,252886,294022,41136,0.6856000000000001,B,1,8,47,18,0,2,1,0,1,1,0
2,B,Asym,1,1_8,252886,294022,41136,0.6856000000000001,B,1,8,65,27,0,7,5,0,5,2,1
2,A,Asym,1,1_9,294372,310611,16239,0.27065,A,1,3,14,5,0,1,0,0,0,1,0
2,B,Asym,1,1_9,294372,310611,16239,0.27065,A,1,3,22,5,0,2,2,0,2,0,0
2,A,Asym,1,1_10,310887,331917,21030,0.35050000000000003,B,1,10,9,2,0,0,0,0,0,0,0
2,B,Asym,1,1_10,310887,331917,21030,0.35050000000000003,B,1,10,30,15,0,3,1,2,3,0,0
2,A,Asym,1,1_11,332239,362578,30339,0.5056499999999999,A,1,5,51,19,0,4,4,0,4,0,0
2,B,Asym,1,1_11,332239,362578,30339,0.5056499999999999,A,1,5,18,6,0,0,0,0,0,0,0
2,A,Asym,1,1_12,362899,369914,7015,0.11691666666666665,B,1,4,4,1,0,0,0,0,0,0,0
2,B,Asym,1,1_12,362899,369914,7015,0.11691666666666665,B,1,4,10,4,0,1,0,0,0,1,0
2,A,Asym,1,1_13,370155,384989,14834,0.24723333333333333,A,1,7,21,8,0,1,1,0,1,0,0
2,B,Asym,1,1_13,370155,384989,14834,0.24723333333333333,A,1,7,10,0,0,0,0,0,0,0,0
2,A,Asym,1,1_14,385301,390351,5050,0.08416666666666667,B,1,2,3,1,0,0,0,0,0,0,0
2,B,Asym,1,1_14,385301,390351,5050,0.08416666666666667,B,1,2,10,2,0,0,0,0,0,0,0
2,A,Asym,1,1_15,390573,408178,17605,0.29341666666666666,A,1,1,16,9,0,0,0,0,0,0,0
2,B,Asym,1,1_15,390573,408178,17605,0.29341666666666666,A,1,1,9,2,0,0,0,0,0,0,0
2,A,Asym,1,1_16,408505,422250,13745,0.22908333333333333,B,1,12,10,6,0,1,1,0,1,0,0
2,B,Asym,1,1_16,408505,422250,13745,0.22908333333333333,B,1,12,18,10,0,0,0,0,0,0,0
